Time(s),Strain(%)
0,0.00010900734833675271
1,-0.00014812605097053663
2,-0.00017918418289682465
3,5.655577852424838e-05
4,-7.398709318720504e-05
5,-1.8665020465702336e-05
6,-2.485627298951417e-06
7,0.00018828066528417316
8,4.022002048990268e-07
9,-2.0433168971098763e-05
10,6.092669152633316e-06
11,7.748669742455697e-05
12,-8.09448838929817e-05
13,0.00010921554839109134
14,-7.649042635445407e-05
15,0.00011696372551988168
16,-9.056736886715975e-05
17,5.657238434730575e-05
18,-0.00032980414257533874
19,0.00016977319667494468
20,-5.7441706747524e-05
21,-2.3048833596810116e-05
22,9.676004329498816e-05
23,9.059173744043677e-05
24,-3.9071732311432976e-05
25,-0.000156843889470054
26,-0.00010169902204035911
27,-7.627127600262759e-05
28,0.00015837506339179766
29,-1.6794649537930158e-05
30,-0.00019196052376823101
31,-3.807444926562684e-06
32,1.8839727782348557e-05
33,0.00013126111855548696
34,0.0001790673922347842
35,-1.6450606448917306e-05
36,2.9942349254364475e-05
37,-0.00011360882951252165
38,3.640477891370234e-05
39,0.00011735265709268575
40,-0.00011575728778879045
41,6.888091324840407e-05
42,5.436801271620994e-05
43,-2.3466574228936057e-05
44,-5.824711899232705e-05
45,-0.00011677727166693317
46,-0.0001112275510362264
47,6.77038512148632e-05
48,-0.00014526907021262216
49,-4.249310079343133e-05
50,0.0001620744005686335
51,2.481619326350121e-06
52,0.00010446097869901277
53,0.00013086471623666702
54,0.0001668609334519891
55,-0.00011651925651412059
56,-5.377417578305656e-05
57,-0.0001575970957429282
58,-8.883469858366739e-05
59,-7.564889454132154e-05
60,0.000103400512604999
61,3.5888757714669036e-06
62,1.2136047536584497e-05
63,3.5463875762792345e-05
64,0.00020062720081548904
65,2.203758785316757e-05
66,2.2413731637869382e-05
67,-2.4582392277467294e-05
68,0.00011408227432530105
69,1.5056194240934382e-05
70,1.2911996193625725e-05
71,7.476347111057846e-05
72,0.00010716697838858518
73,-6.887658767024883e-05
74,-0.0001587211444553957
75,0.00011855453250370039
76,7.170080716221406e-05
77,-0.00014732037119006303
78,0.00016334729998557657
79,-1.2500019548638677e-05
80,-2.9659664841501085e-05
81,1.5377849477349308e-05
82,6.887627998762153e-05
83,-8.974596247726674e-05
84,-1.8063122298188408e-05
85,0.00017315630249803413
86,0.00017105110036207263
87,4.4121777800216297e-05
88,4.7719578452169045e-06
89,7.11722792539123e-06
90,-5.7284998805361134e-05
91,-0.00018851511419472786
92,0.00013614472130942998
93,4.165031902259024e-05
94,4.3797158690964125e-05
95,-0.00012178783555047331
96,-5.465465867011549e-05
97,-4.039610794726907e-05
98,-9.572353343570337e-05
99,2.2196811874475725e-05
100,-0.00012559664454227956
101,0.00011659713239248842
102,4.225155014175118e-05
103,7.801270547069461e-05
104,-0.0001574990525258069
105,-3.795609054915678e-05
106,-3.313474275821534e-05
107,-0.00011472727784981043
108,4.607835411607257e-05
109,-0.00010378002345059437
110,0.00011814344263797687
111,-7.061138221258877e-05
112,-4.45243376033995e-05
113,3.279725141294769e-05
114,-0.00023425880646679245
115,1.3645148781552227e-05
116,0.00028646185677069406
117,-3.153363512731769e-05
118,2.7766748386489995e-05
119,0.00013623463130750594
120,9.74140097823696e-05
121,-0.0002767421495168794
122,-6.815997806097785e-05
123,7.552241418396172e-05
124,-0.00017058340571237405
125,5.0651216720356376e-05
126,0.0001214777033331187
127,-2.79369205889731e-05
